CODE,STATE,COUNTY,FIPS,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,,CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B TOTAL REIMBURSEMENT
24580,MINNESOTA,PIPESTONE,27117,1287.00,5566766.00,360.45,5397246.00,349.47,77433.00,61568.00,30516.00,1171.00,7229821.00,514.50,,24580,MINNESOTA,PIPESTONE,1899986.00,1866731.00,17324.00,15931.00,0.00,2834260.00
24590,MINNESOTA,POLK,27119,2920.00,11654221.00,332.60,11049424.00,315.34,327542.00,133735.00,143516.00,2536.00,15534142.00,510.45,,24590,MINNESOTA,POLK,9918805.00,9564002.00,229502.00,125301.00,0.00,10740646.00
24600,MINNESOTA,POPE,27121,1129.00,4986897.00,368.09,4831683.00,356.63,67144.00,56512.00,31555.00,1008.00,5636096.00,465.95,,24600,MINNESOTA,POPE,5617169.00,5490526.00,70903.00,55741.00,0.00,5179396.00
24610,MINNESOTA,RAMSEY,27123,49962.00,200001366.00,333.59,179433173.00,299.28,10177192.00,5352321.00,5038677.00,39007.00,187267480.00,400.07,,24610,MINNESOTA,RAMSEY,170853178.00,158348623.00,8075028.00,4429527.00,0.00,96516154.00
24620,MINNESOTA,RED LAKE,27125,240.00,553842.00,192.31,522644.00,181.47,12388.00,6150.00,12657.00,181.00,885913.00,407.88,,24620,MINNESOTA,RED LAKE,2180203.00,2124061.00,34250.00,21892.00,0.00,1933855.00
24630,MINNESOTA,REDWOOD,27127,1529.00,7583709.00,413.33,7246808.00,394.96,176946.00,77751.00,82202.00,1364.00,7658147.00,467.87,,24630,MINNESOTA,REDWOOD,6544720.00,6327703.00,149777.00,67240.00,0.00,5010712.00
24640,MINNESOTA,RENVILLE,27129,1682.00,8009830.00,396.84,7745249.00,383.73,123767.00,88700.00,52110.00,1523.00,8705379.00,476.33,,24640,MINNESOTA,RENVILLE,6018814.00,5848888.00,96057.00,73870.00,0.00,4633338.00
24650,MINNESOTA,RICE,27131,4451.00,17226109.00,322.51,15883926.00,297.38,697379.00,257286.00,387515.00,3626.00,15996937.00,367.64,,24650,MINNESOTA,RICE,17512628.00,16498874.00,730476.00,283277.00,0.00,10381380.00
24660,MINNESOTA,ROCK,27133,1218.00,4674928.00,319.85,4434822.00,303.42,107735.00,84220.00,48148.00,1091.00,5361082.00,409.49,,24660,MINNESOTA,ROCK,3647882.00,3486475.00,95102.00,66305.00,0.00,4092717.00
24670,MINNESOTA,ROSEAU,27135,1041.00,2968238.00,237.61,2848570.00,228.03,43324.00,29301.00,47041.00,780.00,3888659.00,415.46,,24670,MINNESOTA,ROSEAU,5598477.00,5353970.00,170306.00,74200.00,0.00,6811381.00
24680,MINNESOTA,ST. LOUIS,27137,20280.00,82430347.00,338.72,78204019.00,321.35,1591816.00,2017416.00,617094.00,17777.00,88529051.00,415.00,,24680,MINNESOTA,ST. LOUIS,57799421.00,55361011.00,1021629.00,1416781.00,0.00,53459812.00
24690,MINNESOTA,SCOTT,27139,5482.00,19303349.00,293.44,18090512.00,275.00,579284.00,356581.00,276968.00,4166.00,20152545.00,403.12,,24690,MINNESOTA,SCOTT,22326250.00,21455088.00,530725.00,340438.00,0.00,11857811.00
24700,MINNESOTA,SHERBURNE,27141,3915.00,15249820.00,324.60,14342986.00,305.30,434057.00,307388.00,165387.00,3083.00,14573935.00,393.93,,24700,MINNESOTA,SHERBURNE,18658224.00,17970823.00,323550.00,363851.00,0.00,9668251.00
24710,MINNESOTA,SIBLEY,27143,1104.00,5033935.00,379.98,4719355.00,356.23,166419.00,63859.00,84299.00,962.00,5712448.00,494.84,,24710,MINNESOTA,SIBLEY,5788829.00,5629083.00,104968.00,54777.00,0.00,4300462.00
24720,MINNESOTA,STEARNS,27145,13629.00,55948044.00,342.09,53728824.00,328.52,870135.00,932572.00,416510.00,11243.00,51215657.00,379.61,,24720,MINNESOTA,STEARNS,57982192.00,56182525.00,851172.00,948496.00,0.00,36619995.00
24730,MINNESOTA,STEELE,27147,2796.00,11428127.00,340.61,10059654.00,299.82,811156.00,143227.00,414086.00,2356.00,10115347.00,357.79,,24730,MINNESOTA,STEELE,11657402.00,10770779.00,734950.00,151673.00,0.00,5668402.00
24740,MINNESOTA,STEVENS,27149,1060.00,5768808.00,453.52,5654625.00,444.55,50925.00,43475.00,19780.00,924.00,6981954.00,629.69,,24740,MINNESOTA,STEVENS,3100573.00,3013117.00,53295.00,34160.00,0.00,3006692.00
24750,MINNESOTA,SWIFT,27151,1083.00,4990809.00,384.03,4871128.00,374.82,38227.00,59206.00,22246.00,966.00,6001128.00,517.70,,24750,MINNESOTA,SWIFT,2986216.00,2887527.00,57854.00,40835.00,0.00,4322381.00
