CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,,CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B TOTAL REIMBURSEMENT
24770,MINNESOTA,TRAVERSE,523,"2,107,184",335.75,"1,972,150",314.24,"82,411","37,144","15,474",480,"3,277,058",568.93,,24770,MINNESOTA,TRAVERSE,"1,440,422","1,381,095","36,585","22,741",0,"1,323,899"
24780,MINNESOTA,WABASHA,"2,378","9,830,398",344.49,"8,322,030",291.63,"950,696","68,088","489,580","2,056","9,882,728",400.56,,24780,MINNESOTA,WABASHA,"10,108,502","9,201,736","837,468","69,297",0,"7,908,125"
24790,MINNESOTA,WADENA,"1,438","5,335,090",309.17,"5,185,565",300.51,"61,844","58,641","29,039","1,252","5,675,923",377.79,,24790,MINNESOTA,WADENA,"6,689,647","6,521,856","86,967","80,824",0,"6,810,297"
24800,MINNESOTA,WASECA,"1,493","5,511,881",307.65,"4,959,376",276.81,"279,150","73,500","199,853","1,256","5,440,273",360.95,,24800,MINNESOTA,WASECA,"7,992,649","7,473,477","427,084","92,088",0,"4,267,452"
24810,MINNESOTA,WASHINGTON,"9,257","33,954,313",305.66,"30,842,933",277.65,"1,570,655","771,851","768,871","7,310","35,185,260",401.11,,24810,MINNESOTA,WASHINGTON,"38,683,051","36,086,837","1,675,625","920,589",0,"24,926,445"
24820,MINNESOTA,WATONWAN,"1,248","6,121,614",408.76,"5,798,284",387.17,"188,874","46,643","87,810","1,107","5,505,500",414.45,,24820,MINNESOTA,WATONWAN,"4,265,063","4,072,459","151,000","41,604",0,"3,339,233"
24830,MINNESOTA,WILKIN,627,"2,308,453",306.81,"2,208,536",293.53,"36,254","37,244","26,416",535,"2,357,059",367.14,,24830,MINNESOTA,WILKIN,"2,459,795","2,338,593","77,405","43,797",0,"1,900,055"
24840,MINNESOTA,WINONA,"4,959","18,348,343",308.33,"16,572,823",278.50,"1,125,618","222,656","427,245","4,370","20,898,423",398.52,,24840,MINNESOTA,WINONA,"8,432,438","7,836,615","496,573","99,250",0,"8,475,418"
24850,MINNESOTA,WRIGHT,"6,739","26,010,769",321.64,"24,697,417",305.40,"570,263","463,334","279,751","5,365","26,557,397",412.51,,24850,MINNESOTA,WRIGHT,"34,330,780","33,110,528","643,003","577,249",0,"20,039,623"
24860,MINNESOTA,YELLOW MEDICINE,"1,333","6,241,840",390.21,"6,039,537",377.57,"97,985","63,679","40,635","1,168","6,497,293",463.56,,24860,MINNESOTA,YELLOW MEDICINE,"3,581,797","3,504,119","38,041","39,637",0,"4,588,216"
